"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1325,kt89_Vartius,2020/05/19,2,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,1,,,,
1325,kt89_Vartius,2020/05/20,1,"11 HA-PA",,,,,,,5,7,3,,2,,1,2,4,1,1,1,2,1,,1,,
1325,kt89_Vartius,2020/05/20,1,"12 KAIP",,,,,,,,,,1,,1,,,,,1,,,,,,,
1325,kt89_Vartius,2020/05/20,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1325,kt89_Vartius,2020/05/20,1,"14 KAPP",,,,,,,,,,1,1,,,,,,2,,3,2,2,,,
1325,kt89_Vartius,2020/05/20,1,"15 KATP",,1,,1,,2,,,1,1,,,,1,1,2,,1,2,2,5,1,1,
1325,kt89_Vartius,2020/05/20,1,"16 HA + PK",,,,,,,,,1,,1,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/20,1,"17 HA + AV",,,,,,,,1,,,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/05/20,2,"11 HA-PA",,,,,,1,1,,1,,3,2,3,,1,4,1,4,2,1,,3,,
1325,kt89_Vartius,2020/05/20,2,"12 KAIP",,,,,,,,,,,,1,,,1,1,,,,,,,,
1325,kt89_Vartius,2020/05/20,2,"14 KAPP",,,,,,,,,,1,3,2,1,,,2,2,1,,,2,,,
1325,kt89_Vartius,2020/05/20,2,"15 KATP",,,,,,,,,,3,2,2,1,,1,1,1,,,1,,,,
1325,kt89_Vartius,2020/05/20,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/20,2,"17 HA + AV",,,,,,,,,,,,,,,1,1,,,,,,,,
1325,kt89_Vartius,2020/05/21,1,"11 HA-PA",,,,,,,2,2,3,3,1,2,1,1,1,1,2,,2,3,2,1,2,
1325,kt89_Vartius,2020/05/21,1,"12 KAIP",,,,,,,,,1,,,1,,1,,,,,,,,,,
1325,kt89_Vartius,2020/05/21,1,"14 KAPP",1,,,,,,,,,,,1,,1,2,2,,,1,,2,,,
1325,kt89_Vartius,2020/05/21,1,"15 KATP",1,1,,,,1,,,1,1,1,,,,1,2,3,,1,1,1,,,
1325,kt89_Vartius,2020/05/21,1,"16 HA + PK",,,,,,,,,,,,,1,,1,,,,,,,,,
1325,kt89_Vartius,2020/05/21,1,"17 HA + AV",,,,,,,,,,,,1,,,,,1,,,1,,,,
1325,kt89_Vartius,2020/05/21,2,"11 HA-PA",,,,,,,,2,1,,,2,1,1,1,,,1,6,3,1,11,,
1325,kt89_Vartius,2020/05/21,2,"12 KAIP",,,,,,,,,,,,,1,,,1,,,,,,,,
1325,kt89_Vartius,2020/05/21,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,,1,
1325,kt89_Vartius,2020/05/21,2,"14 KAPP",,,,,,,,,,1,1,,1,1,,,,,,1,,1,,
1325,kt89_Vartius,2020/05/21,2,"15 KATP",1,,,,,,,1,,1,2,,2,,1,2,2,1,,1,,1,,
1325,kt89_Vartius,2020/05/21,2,"16 HA + PK",,,,,,,,,,,,,,,2,,,,,,1,,,
1325,kt89_Vartius,2020/05/21,2,"17 HA + AV",,,,,,,,,,,,,,1,,1,,,,,,,,
1325,kt89_Vartius,2020/05/22,1,"11 HA-PA",,,,,,,11,4,3,2,2,3,5,1,2,2,3,2,2,,1,1,,
1325,kt89_Vartius,2020/05/22,1,"12 KAIP",,,,,,,,,,,,,2,,,1,,,1,,1,,,
1325,kt89_Vartius,2020/05/22,1,"14 KAPP",,,,,,,,1,,,2,,3,,,1,1,,1,2,,,,
1325,kt89_Vartius,2020/05/22,1,"15 KATP",,,,,1,,,,,,,,,,2,2,1,2,1,1,1,1,,
1325,kt89_Vartius,2020/05/22,1,"16 HA + PK",1,,,,,,,1,,,,,,,1,,,1,,,,,,
1325,kt89_Vartius,2020/05/22,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/05/22,2,"11 HA-PA",,,,,1,,,,3,1,3,3,4,,1,1,,1,1,2,1,2,,
1325,kt89_Vartius,2020/05/22,2,"12 KAIP",,,,,,,,,,1,,,,,,,,,,,1,,,
1325,kt89_Vartius,2020/05/22,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1325,kt89_Vartius,2020/05/22,2,"14 KAPP",,,,,,,,,,2,1,,,,,2,3,,1,,,,,
1325,kt89_Vartius,2020/05/22,2,"15 KATP",1,,,,,1,,1,4,,,1,2,2,,1,,,,1,,,,
1325,kt89_Vartius,2020/05/22,2,"16 HA + PK",,,,,,,,,,2,,,,,,,,,,,1,,,
1325,kt89_Vartius,2020/05/22,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/23,1,"11 HA-PA",1,1,,,,,,2,,1,3,1,2,2,,,2,,2,2,1,1,,1
1325,kt89_Vartius,2020/05/23,1,"12 KAIP",,,,,,,,,,,,,1,,,,,,,,,,,
1325,kt89_Vartius,2020/05/23,1,"14 KAPP",,,,,1,,,,,1,,,,,,1,,2,,1,,,,1
1325,kt89_Vartius,2020/05/23,1,"15 KATP",,,,,,,,,1,,,1,2,,1,,1,,1,1,,,,
1325,kt89_Vartius,2020/05/23,1,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,,,
1325,kt89_Vartius,2020/05/23,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,,,
1325,kt89_Vartius,2020/05/23,2,"11 HA-PA",1,,,,,,,,,,1,1,1,1,,2,,2,2,1,,2,,
1325,kt89_Vartius,2020/05/23,2,"12 KAIP",,,,,,,,,,,,1,,,1,1,,,,,,,,
1325,kt89_Vartius,2020/05/23,2,"14 KAPP",,,,,,,,1,,,,1,2,,,,,,1,,1,1,,
1325,kt89_Vartius,2020/05/23,2,"15 KATP",1,,,,2,,,,,,2,2,,,2,,,,,1,,,,
1325,kt89_Vartius,2020/05/23,2,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/24,1,"11 HA-PA",,,,,,,,2,,,,2,3,2,2,1,1,1,1,3,,3,1,
1325,kt89_Vartius,2020/05/24,1,"12 KAIP",,,,,,,,,,1,,1,1,,,1,,,,,,,,
1325,kt89_Vartius,2020/05/24,1,"14 KAPP",,,,,,,,,,,,,,,,1,,1,1,,,,,
1325,kt89_Vartius,2020/05/24,1,"15 KATP",1,,,,,,,,,1,2,,,,1,1,,,2,,,,,
1325,kt89_Vartius,2020/05/24,2,"11 HA-PA",,,,,,,1,,3,1,,4,,3,2,2,2,2,1,1,,12,1,
1325,kt89_Vartius,2020/05/24,2,"12 KAIP",,,,,,,,,1,1,,,,,1,,,,,,,2,,
1325,kt89_Vartius,2020/05/24,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,1,,,
1325,kt89_Vartius,2020/05/24,2,"14 KAPP",,,,,,,,,,1,1,1,,,,,,,,1,2,,,
1325,kt89_Vartius,2020/05/24,2,"15 KATP",,,,1,,,,,1,,1,,1,2,,,,1,1,1,,1,1,
1325,kt89_Vartius,2020/05/24,2,"16 HA + PK",,,,,,,,,,,1,,,,1,,,,,,,,,
1325,kt89_Vartius,2020/05/24,2,"17 HA + AV",,,,,,,,,1,,,,,,1,,1,,1,,,,,
1325,kt89_Vartius,2020/05/25,1,"11 HA-PA",2,,,,,,2,2,3,3,1,3,1,3,2,4,3,2,4,2,,1,,
1325,kt89_Vartius,2020/05/25,1,"12 KAIP",,,,,,,1,,1,3,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/05/25,1,"14 KAPP",,,,,,,,,,,1,,1,,1,,2,,1,1,,,,
1325,kt89_Vartius,2020/05/25,1,"15 KATP",,,,,,1,,,,2,,1,,2,3,2,1,1,1,,1,1,,
1325,kt89_Vartius,2020/05/25,1,"16 HA + PK",,,,,,,2,,,1,,,1,1,2,,1,1,,,,,,
1325,kt89_Vartius,2020/05/25,1,"17 HA + AV",,,,,,,,,,,,,,,,1,1,,1,,,,,
1325,kt89_Vartius,2020/05/25,2,"11 HA-PA",,,,,1,,,2,,,5,3,3,1,2,2,4,,5,1,,,,
1325,kt89_Vartius,2020/05/25,2,"14 KAPP",,,,,,,1,,,2,1,2,,1,1,1,,2,1,,1,,,
1325,kt89_Vartius,2020/05/25,2,"15 KATP",,1,,,,,,,2,2,2,1,2,1,1,1,,,,,1,2,,
1325,kt89_Vartius,2020/05/25,2,"16 HA + PK",,,,,,,,,,,,,,1,,,2,2,,,,,,
1325,kt89_Vartius,2020/05/26,1,"11 HA-PA",,,,,,,6,4,2,7,3,2,3,4,1,3,3,2,3,2,3,1,1,
1325,kt89_Vartius,2020/05/26,1,"12 KAIP",,,,,,,,,1,2,1,,,1,1,,,,,,,,1,
1325,kt89_Vartius,2020/05/26,1,"14 KAPP",,,,,,,,,1,,,1,,,1,1,,1,,1,3,,,
1325,kt89_Vartius,2020/05/26,1,"15 KATP",,,,,,,,,,1,,1,2,1,1,1,2,1,3,2,3,,,
1325,kt89_Vartius,2020/05/26,1,"16 HA + PK",,,,,,,,,1,,,,,,1,,1,,,1,,,,
1325,kt89_Vartius,2020/05/26,1,"17 HA + AV",,,,,,,,,,,,,,,2,,,,,,,,2,
1325,kt89_Vartius,2020/05/26,2,"11 HA-PA",1,,,,,,,,,3,3,4,5,,3,3,4,1,2,3,1,2,,
1325,kt89_Vartius,2020/05/26,2,"12 KAIP",,,,,,,,,,,,1,,,1,1,,1,1,,1,,,
1325,kt89_Vartius,2020/05/26,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,1,,,
1325,kt89_Vartius,2020/05/26,2,"14 KAPP",,,,,,,,,1,1,1,2,,,,,1,,,1,,,,
1325,kt89_Vartius,2020/05/26,2,"15 KATP",1,,,,,,,1,3,1,1,2,1,1,,2,,1,2,1,2,,,
1325,kt89_Vartius,2020/05/26,2,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,,,1,,
1325,kt89_Vartius,2020/05/26,2,"17 HA + AV",,,,,,,,,1,2,,1,,,,,,,,1,,,,
1325,kt89_Vartius,2020/05/27,1,"11 HA-PA",,1,,,,,2,5,5,2,1,5,1,4,1,1,1,1,1,1,1,,1,
1325,kt89_Vartius,2020/05/27,1,"12 KAIP",,,,,,,2,1,,2,,,,,,,,1,,,,,,
1325,kt89_Vartius,2020/05/27,1,"14 KAPP",,,,1,,,,,,1,,,1,,,1,,2,1,1,1,,,
1325,kt89_Vartius,2020/05/27,1,"15 KATP",,,,,,,1,2,1,,,,,1,,1,1,2,3,2,2,,,
1325,kt89_Vartius,2020/05/27,1,"16 HA + PK",,,,,,,,,,,,,1,,1,,,,,,1,,,
1325,kt89_Vartius,2020/05/27,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/27,2,"11 HA-PA",,,,,1,,1,1,3,1,4,4,8,1,2,2,2,,1,,,,,
1325,kt89_Vartius,2020/05/27,2,"12 KAIP",,,,,,,,,,1,,,,,2,,,,2,,,,,
1325,kt89_Vartius,2020/05/27,2,"13 Linja-autot",,,,,,,,,,1,,,,,,1,,,,,,,,
1325,kt89_Vartius,2020/05/27,2,"14 KAPP",,,,,,,,,1,2,1,1,1,1,,,2,,,,,,,
1325,kt89_Vartius,2020/05/27,2,"15 KATP",,,1,,,,,,1,2,2,2,3,,,,1,,,,2,,,
1325,kt89_Vartius,2020/05/27,2,"16 HA + PK",,,,,,,,1,,1,,,1,1,,,,,,,,,,
1325,kt89_Vartius,2020/05/27,2,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/28,1,"11 HA-PA",,,,,,,2,3,1,1,,3,1,,1,2,2,1,1,3,,4,2,
1325,kt89_Vartius,2020/05/28,1,"12 KAIP",,,,,,,,1,,1,,,,,,,,,1,,,,,
1325,kt89_Vartius,2020/05/28,1,"14 KAPP",,,,,,,,,,,,1,,1,,1,,1,,3,1,,,
1325,kt89_Vartius,2020/05/28,1,"15 KATP",,,,,,,,,,1,,2,,2,1,,2,4,2,1,2,2,1,
1325,kt89_Vartius,2020/05/28,1,"16 HA + PK",,,,,,,,1,1,,,,,1,,1,,1,,,,,,1
1325,kt89_Vartius,2020/05/28,1,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/28,2,"11 HA-PA",1,,,,1,,,,3,3,1,1,3,2,2,1,2,,2,1,1,3,,
1325,kt89_Vartius,2020/05/28,2,"12 KAIP",,,,,,,,,,,,,,1,,,2,,,,,,,
1325,kt89_Vartius,2020/05/28,2,"14 KAPP",,,,,,,,,,,2,4,1,,2,,,1,1,,,,,
1325,kt89_Vartius,2020/05/28,2,"15 KATP",1,,,1,,1,,,2,2,2,,2,,1,,,3,1,2,1,3,,
1325,kt89_Vartius,2020/05/28,2,"16 HA + PK",,,,,,,,,,1,,,1,,,,,,,,,1,,
1325,kt89_Vartius,2020/05/28,2,"17 HA + AV",,,,,,,,,1,1,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/29,1,"11 HA-PA",1,,,,,1,6,3,6,3,4,1,2,3,5,2,4,2,2,,,,1,
1325,kt89_Vartius,2020/05/29,1,"12 KAIP",,,,,,,,,,2,1,,,,,1,1,,,,,,,
1325,kt89_Vartius,2020/05/29,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/29,1,"14 KAPP",,,,,,,,1,3,,,,,,1,1,1,1,3,1,5,,,
1325,kt89_Vartius,2020/05/29,1,"15 KATP",,,,,1,,,,2,,,,,1,,2,1,4,4,3,2,,,
1325,kt89_Vartius,2020/05/29,1,"16 HA + PK",,,,,,,,,2,1,,,,,1,1,,,,,,,,
1325,kt89_Vartius,2020/05/29,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,1,,,,1,
1325,kt89_Vartius,2020/05/29,2,"11 HA-PA",1,,,,1,1,,,3,2,2,4,3,3,2,2,1,1,1,1,1,5,,1
1325,kt89_Vartius,2020/05/29,2,"12 KAIP",,,,,,,,,,1,,,,,,,,,1,1,,,,
1325,kt89_Vartius,2020/05/29,2,"13 Linja-autot",,,,,,,,,,,1,,3,,,,,,,,,,,
1325,kt89_Vartius,2020/05/29,2,"14 KAPP",,,,,,,,,,2,,1,1,2,,,,,2,,1,,,
1325,kt89_Vartius,2020/05/29,2,"15 KATP",,,,,,,,,,2,3,1,2,2,,1,,,,,,1,,
1325,kt89_Vartius,2020/05/29,2,"16 HA + PK",,,,,,,,,,,1,,1,,,,,1,,,,,,
1325,kt89_Vartius,2020/05/30,1,"11 HA-PA",,,1,,,,1,3,1,4,,2,1,4,1,1,1,3,3,1,1,,,
1325,kt89_Vartius,2020/05/30,1,"12 KAIP",,,,,,,,,,1,,1,,,,,1,,,,,,,
1325,kt89_Vartius,2020/05/30,1,"14 KAPP",,,,,,,,,,,,1,,,,,2,1,2,1,1,,,
1325,kt89_Vartius,2020/05/30,1,"15 KATP",,,,,,,,,1,1,,,,1,,1,1,1,3,,1,1,,
1325,kt89_Vartius,2020/05/30,1,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/05/30,2,"11 HA-PA",,,,,,,2,,,3,1,1,,,2,1,2,1,,2,2,4,1,
1325,kt89_Vartius,2020/05/30,2,"14 KAPP",,,,,,,,,1,2,4,1,1,,,,1,,,,1,2,,
1325,kt89_Vartius,2020/05/30,2,"15 KATP",,,,,,,,,,,2,,,1,,,,,,,,,1,
1325,kt89_Vartius,2020/05/30,2,"16 HA + PK",,,,,,,,,,1,,,,1,,,,,,,,,,
1325,kt89_Vartius,2020/05/30,2,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/31,1,"11 HA-PA",,,,,,,1,2,1,1,,,1,1,1,1,,,1,3,3,1,,
1325,kt89_Vartius,2020/05/31,1,"14 KAPP",,,,,,,,,,,,,1,,,1,,1,4,2,1,,,
1325,kt89_Vartius,2020/05/31,1,"15 KATP",,,,,,,,,,1,,1,,1,,1,,1,1,1,1,,,
1325,kt89_Vartius,2020/05/31,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,1,,,1,,,
1325,kt89_Vartius,2020/05/31,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,,,
1325,kt89_Vartius,2020/05/31,2,"11 HA-PA",,,,,,,,,,,1,,2,7,3,1,3,1,4,,1,10,1,
1325,kt89_Vartius,2020/05/31,2,"12 KAIP",,,,,,,,,,,1,,,,,,1,,,1,,1,,
1325,kt89_Vartius,2020/05/31,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,1,,,
1325,kt89_Vartius,2020/05/31,2,"14 KAPP",,,,,,,,,,,2,4,1,,,,1,,,1,,,,
1325,kt89_Vartius,2020/05/31,2,"15 KATP",,,,,,,1,,1,,1,3,1,,,,,,,,,,,
1325,kt89_Vartius,2020/05/31,2,"16 HA + PK",,,,,1,,,,,,1,,,1,,,1,,,,,,,
1325,kt89_Vartius,2020/05/31,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
